v4_2,Lower CI,Upper CI,two-year-intervals,Time,administrative-geography,Geography,sex,Sex,age-groups,AgeGroups
79.14,78.41,79.87,2016-18,2016-18,E07000103,Watford,male,Male,0-1,00-01
82.69,82.03,83.35,2016-18,2016-18,E07000103,Watford,female,Female,0-1,00-01
77.77,76.96,78.57,2016-18,2016-18,E07000136,Boston,male,Male,0-1,00-01
82.06,81.31,82.81,2016-18,2016-18,E07000136,Boston,female,Female,0-1,00-01
80.44,79.73,81.16,2016-18,2016-18,E07000152,East Northamptonshire,male,Male,0-1,00-01
83.16,82.51,83.8,2016-18,2016-18,E07000152,East Northamptonshire,female,Female,0-1,00-01
80.74,80.01,81.47,2016-18,2016-18,E07000120,Hyndburn,female,Female,0-1,00-01
76.72,75.95,77.5,2016-18,2016-18,E07000120,Hyndburn,male,Male,0-1,00-01
79.07,78.38,79.75,2016-18,2016-18,E07000237,Worcester,male,Male,0-1,00-01
83.3,82.67,83.92,2016-18,2016-18,E07000237,Worcester,female,Female,0-1,00-01
77.16,76.71,77.62,2016-18,2016-18,E08000006,Salford,male,Male,0-1,00-01
80.86,80.43,81.28,2016-18,2016-18,E08000006,Salford,female,Female,0-1,00-01
81.4,80.9,81.89,2016-18,2016-18,E07000011,Huntingdonshire,male,Male,0-1,00-01
84.37,83.9,84.85,2016-18,2016-18,E07000011,Huntingdonshire,female,Female,0-1,00-01
82.45,82.08,82.82,2016-18,2016-18,E09000003,Barnet,male,Male,0-1,00-01
85.79,85.45,86.12,2016-18,2016-18,E09000003,Barnet,female,Female,0-1,00-01
81.52,81.03,82.0,2016-18,2016-18,E08000023,South Tyneside,female,Female,0-1,00-01
76.96,76.4,77.51,2016-18,2016-18,E08000023,South Tyneside,male,Male,0-1,00-01
84.29,83.61,84.97,2016-18,2016-18,E07000217,Woking,female,Female,0-1,00-01
81.93,81.23,82.63,2016-18,2016-18,E07000217,Woking,male,Male,0-1,00-01
83.85,83.29,84.42,2016-18,2016-18,E07000197,Stafford,female,Female,0-1,00-01
80.38,79.79,80.98,2016-18,2016-18,E07000197,Stafford,male,Male,0-1,00-01
81.34,80.75,81.92,2016-18,2016-18,E07000174,Mansfield,female,Female,0-1,00-01
77.89,77.23,78.54,2016-18,2016-18,E07000174,Mansfield,male,Male,0-1,00-01
80.02,79.47,80.57,2016-18,2016-18,E07000084,Basingstoke and Deane,male,Male,0-1,00-01
83.82,83.35,84.29,2016-18,2016-18,E07000084,Basingstoke and Deane,female,Female,0-1,00-01
81.35,80.67,82.04,2016-18,2016-18,E07000068,Brentwood,male,Male,0-1,00-01
84.59,83.96,85.22,2016-18,2016-18,E07000068,Brentwood,female,Female,0-1,00-01
84.94,84.46,85.41,2016-18,2016-18,E07000040,East Devon,female,Female,0-1,00-01
81.49,80.92,82.05,2016-18,2016-18,E07000040,East Devon,male,Male,0-1,00-01
78.43,77.96,78.9,2016-18,2016-18,E06000044,Portsmouth,male,Male,0-1,00-01
82.01,81.54,82.48,2016-18,2016-18,E06000044,Portsmouth,female,Female,0-1,00-01
82.12,81.73,82.5,2016-18,2016-18,E06000026,Plymouth,female,Female,0-1,00-01
78.96,78.54,79.39,2016-18,2016-18,E06000026,Plymouth,male,Male,0-1,00-01
75.99,75.57,76.41,2016-18,2016-18,E06000010,"Kingston upon Hull, City of",male,Male,0-1,00-01
80.16,79.75,80.56,2016-18,2016-18,E06000010,"Kingston upon Hull, City of",female,Female,0-1,00-01
82.93,82.53,83.33,2016-18,2016-18,E06000043,Brighton and Hove,female,Female,0-1,00-01
78.91,78.47,79.35,2016-18,2016-18,E06000043,Brighton and Hove,male,Male,0-1,00-01
81.19,80.8,81.59,2016-18,2016-18,E06000025,South Gloucestershire,male,Male,0-1,00-01
84.47,84.08,84.85,2016-18,2016-18,E06000025,South Gloucestershire,female,Female,0-1,00-01
74.46,73.84,75.08,2016-18,2016-18,E06000009,Blackpool,male,Male,0-1,00-01
79.52,78.97,80.07,2016-18,2016-18,E06000009,Blackpool,female,Female,0-1,00-01
78.93,78.17,79.69,2016-18,2016-18,E07000236,Redditch,male,Male,0-1,00-01
83.28,82.56,84.0,2016-18,2016-18,E07000236,Redditch,female,Female,0-1,00-01
83.08,82.31,83.86,2016-18,2016-18,E07000151,Daventry,female,Female,0-1,00-01
81.21,80.5,81.92,2016-18,2016-18,E07000151,Daventry,male,Male,0-1,00-01
82.67,82.13,83.21,2016-18,2016-18,E09000002,Barking and Dagenham,female,Female,0-1,00-01
77.98,77.44,78.52,2016-18,2016-18,E09000002,Barking and Dagenham,male,Male,0-1,00-01
78.04,77.56,78.52,2016-18,2016-18,E08000022,North Tyneside,male,Male,0-1,00-01
82.13,81.7,82.56,2016-18,2016-18,E08000022,North Tyneside,female,Female,0-1,00-01
80.85,80.3,81.41,2016-18,2016-18,E07000173,Gedling,male,Male,0-1,00-01
82.86,82.3,83.42,2016-18,2016-18,E07000173,Gedling,female,Female,0-1,00-01
79.13,78.32,79.95,2016-18,2016-18,E07000119,Fylde,male,Male,0-1,00-01
82.87,82.16,83.58,2016-18,2016-18,E07000119,Fylde,female,Female,0-1,00-01
77.14,76.66,77.63,2016-18,2016-18,E08000005,Rochdale,male,Male,0-1,00-01
80.97,80.51,81.42,2016-18,2016-18,E08000005,Rochdale,female,Female,0-1,00-01
82.17,81.51,82.83,2016-18,2016-18,E07000010,Fenland,female,Female,0-1,00-01
78.57,77.9,79.25,2016-18,2016-18,E07000010,Fenland,male,Male,0-1,00-01
84.47,83.61,85.32,2016-18,2016-18,E07000135,Oadby and Wigston,female,Female,0-1,00-01
79.83,78.82,80.84,2016-18,2016-18,E07000135,Oadby and Wigston,male,Male,0-1,00-01
81.48,80.8,82.16,2016-18,2016-18,E07000102,Three Rivers,male,Male,0-1,00-01
84.01,83.36,84.66,2016-18,2016-18,E07000102,Three Rivers,female,Female,0-1,00-01
82.16,81.55,82.77,2016-18,2016-18,E07000216,Waverley,male,Male,0-1,00-01
85.72,85.2,86.23,2016-18,2016-18,E07000216,Waverley,female,Female,0-1,00-01
83.89,83.29,84.5,2016-18,2016-18,E07000196,South Staffordshire,female,Female,0-1,00-01
80.66,80.09,81.23,2016-18,2016-18,E07000196,South Staffordshire,male,Male,0-1,00-01
84.58,83.92,85.25,2016-18,2016-18,E07000083,Tewkesbury,female,Female,0-1,00-01
81.19,80.53,81.84,2016-18,2016-18,E07000083,Tewkesbury,male,Male,0-1,00-01
83.02,82.51,83.54,2016-18,2016-18,E07000067,Braintree,female,Female,0-1,00-01
80.11,79.58,80.63,2016-18,2016-18,E07000067,Braintree,male,Male,0-1,00-01
82.92,82.26,83.58,2016-18,2016-18,E07000039,South Derbyshire,female,Female,0-1,00-01
79.67,78.98,80.36,2016-18,2016-18,E07000039,South Derbyshire,male,Male,0-1,00-01
84.47,83.89,85.04,2016-18,2016-18,E07000116,Tunbridge Wells,female,Female,0-1,00-01
81.12,80.48,81.76,2016-18,2016-18,E07000116,Tunbridge Wells,male,Male,0-1,00-01
79.31,78.7,79.92,2016-18,2016-18,E07000036,Erewash,male,Male,0-1,00-01
83.49,82.89,84.1,2016-18,2016-18,E07000036,Erewash,female,Female,0-1,00-01
81.75,81.45,82.04,2016-18,2016-18,E06000060,Buckinghamshire,male,Male,0-1,00-01
85.07,84.79,85.36,2016-18,2016-18,E06000060,Buckinghamshire,female,Female,0-1,00-01
83.16,82.57,83.76,2016-18,2016-18,E07000148,Norwich,female,Female,0-1,00-01
78.15,77.5,78.79,2016-18,2016-18,E07000148,Norwich,male,Male,0-1,00-01
81.68,81.22,82.15,2016-18,2016-18,E08000002,Bury,female,Female,0-1,00-01
78.74,78.24,79.23,2016-18,2016-18,E08000002,Bury,male,Male,0-1,00-01
77.91,77.5,78.32,2016-18,2016-18,E08000018,Rotherham,male,Male,0-1,00-01
81.78,81.38,82.18,2016-18,2016-18,E08000018,Rotherham,female,Female,0-1,00-01
83.92,83.31,84.52,2016-18,2016-18,E07000132,Hinckley and Bosworth,female,Female,0-1,00-01
81.06,80.49,81.63,2016-18,2016-18,E07000132,Hinckley and Bosworth,male,Male,0-1,00-01
82.71,82.1,83.33,2016-18,2016-18,E07000193,East Staffordshire,female,Female,0-1,00-01
78.82,78.15,79.48,2016-18,2016-18,E07000193,East Staffordshire,male,Male,0-1,00-01
78.06,77.45,78.66,2016-18,2016-18,E07000170,Ashfield,male,Male,0-1,00-01
81.76,81.19,82.33,2016-18,2016-18,E07000170,Ashfield,female,Female,0-1,00-01
81.24,80.58,81.9,2016-18,2016-18,E07000213,Spelthorne,male,Male,0-1,00-01
84.17,83.56,84.79,2016-18,2016-18,E07000213,Spelthorne,female,Female,0-1,00-01
78.98,78.29,79.66,2016-18,2016-18,E07000229,Worthing,male,Male,0-1,00-01
83.15,82.55,83.75,2016-18,2016-18,E07000229,Worthing,female,Female,0-1,00-01
83.35,82.72,83.98,2016-18,2016-18,E07000080,Forest of Dean,female,Female,0-1,00-01
80.4,79.69,81.11,2016-18,2016-18,E07000080,Forest of Dean,male,Male,0-1,00-01
83.74,83.0,84.48,2016-18,2016-18,E07000064,Rother,female,Female,0-1,00-01
81.03,80.3,81.76,2016-18,2016-18,E07000064,Rother,male,Male,0-1,00-01
84.33,83.82,84.84,2016-18,2016-18,E07000096,Dacorum,female,Female,0-1,00-01
81.37,80.84,81.9,2016-18,2016-18,E07000096,Dacorum,male,Male,0-1,00-01
82.14,81.91,82.38,2016-18,2016-18,E08000035,Leeds,female,Female,0-1,00-01
78.25,78.0,78.5,2016-18,2016-18,E08000035,Leeds,male,Male,0-1,00-01
81.76,81.14,82.37,2016-18,2016-18,S12000041,Angus,female,Female,0-1,00-01
78.35,77.72,78.99,2016-18,2016-18,S12000041,Angus,male,Male,0-1,00-01
77.92,77.2,78.64,2016-18,2016-18,S12000019,Midlothian,male,Male,0-1,00-01
81.68,81.03,82.33,2016-18,2016-18,S12000019,Midlothian,female,Female,0-1,00-01
82.99,82.38,83.6,2016-18,2016-18,N09000006,Fermanagh and Omagh,female,Female,0-1,00-01
79.17,78.52,79.82,2016-18,2016-18,N09000006,Fermanagh and Omagh,male,Male,0-1,00-01
77.83,77.31,78.35,2016-18,2016-18,W06000010,Carmarthenshire,male,Male,0-1,00-01
82.28,81.83,82.72,2016-18,2016-18,W06000010,Carmarthenshire,female,Female,0-1,00-01
80.61,79.99,81.23,2016-18,2016-18,E07000241,Welwyn Hatfield,male,Male,0-1,00-01
84.2,83.6,84.79,2016-18,2016-18,E07000241,Welwyn Hatfield,female,Female,0-1,00-01
80.66,80.1,81.22,2016-18,2016-18,E07000141,South Kesteven,male,Male,0-1,00-01
83.84,83.36,84.33,2016-18,2016-18,E07000141,South Kesteven,female,Female,0-1,00-01
81.7,80.88,82.52,2016-18,2016-18,E07000029,Copeland,female,Female,0-1,00-01
78.24,77.38,79.09,2016-18,2016-18,E07000029,Copeland,male,Male,0-1,00-01
85.88,84.95,86.81,2016-18,2016-18,E06000017,Rutland,female,Female,0-1,00-01
82.79,81.93,83.65,2016-18,2016-18,E06000017,Rutland,male,Male,0-1,00-01
81.05,80.5,81.61,2016-18,2016-18,E07000222,Warwick,male,Male,0-1,00-01
84.24,83.67,84.81,2016-18,2016-18,E07000222,Warwick,female,Female,0-1,00-01
